name	shape	dtype	params	mean	std	min	max
base_model.model.model.layers.6.mlp.gate_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000129	0.019323	-0.036013	+0.036287
base_model.model.model.layers.6.mlp.gate_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000006	0.001326	-0.004428	+0.004293
base_model.model.model.layers.6.mlp.up_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000526	0.019338	-0.035603	+0.035490
base_model.model.model.layers.6.mlp.up_proj.lora_B.weight	(4864, 16)	torch.float32	77824	-0.000003	0.001287	-0.004236	+0.004262
base_model.model.model.layers.6.self_attn.k_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000222	0.019408	-0.035810	+0.036247
base_model.model.model.layers.6.self_attn.k_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000047	0.001183	-0.003509	+0.003314
base_model.model.model.layers.6.self_attn.o_proj.lora_A.weight	(16, 896)	torch.float32	14336	+0.000129	0.019396	-0.035663	+0.035875
base_model.model.model.layers.6.self_attn.o_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000009	0.001319	-0.004371	+0.004048
base_model.model.model.layers.6.self_attn.q_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000081	0.019476	-0.035791	+0.035745
base_model.model.model.layers.6.self_attn.q_proj.lora_B.weight	(896, 16)	torch.float32	14336	-0.000002	0.001273	-0.004072	+0.003943
base_model.model.model.layers.6.self_attn.v_proj.lora_A.weight	(16, 896)	torch.float32	14336	-0.000077	0.019154	-0.036019	+0.035951
base_model.model.model.layers.6.self_attn.v_proj.lora_B.weight	(128, 16)	torch.float32	2048	-0.000058	0.001129	-0.003194	+0.003766
base_model.model.model.layers.7.mlp.down_proj.lora_A.weight	(16, 4864)	torch.float32	77824	+0.000007	0.008403	-0.017508	+0.017698
base_model.model.model.layers.7.mlp.down_proj.lora_B.weight	(896, 16)	torch.float32	14336	+0.000000	0.001336	-0.004327	+0.004109
